species,latitude,longitude
Myosotis verna,-31.38928,-57.97683
Buddleja grandiflora,-31.41905,-58.01685
Buddleja thyrsoides,-31.5671,-57.98045
Rhipsalis lumbricoides,-33.23373,-54.74095
Acicarpha tribuloides,-32.14516,-53.72715
Triodanis perfoliata var. biflora,-32.14239,-54.08473
Wahlenbergia linarioides,-33.45775,-53.5928
Canna glauca,-33.23373,-54.74095
Tarenaya titubans,-32.14239,-54.08473
Monteverdia ilicifolia,-33.23373,-54.74095
Schaefferia argentinensis,-32.6321,-54.37416
Dysphania ambrosioides,-32.6321,-54.37416
Dysphania retusa,-32.6321,-54.37416
Crocanthemum brasiliense,-31.02921,-55.44948
Terminalia australis,-34.10121,-53.87237
Butia capitata,-34.10121,-53.87237
Lithraea brasiliensis,-32.92,-54.47
Schinus engleri var. uruguayensis,-32.23799,-53.78088
Berberis laurina,-32.23398,-53.76951
Cereus uruguayanus,-32.1982,-53.81476
Parodia scopa,-32.19938,-53.84135
Opuntia arechavaletae,-32.18818,-53.83758
Ephedra tweediana,-32.17102,-53.83726
Tripodanthus acutifolius,-32.18414,-53.87048
Sida rhombifolia,-32.18175,-53.85627
Myrsine coriacea,-32.23649,-53.68103
Myrsine laetevirens,-32.16929,-53.86418
Myrrhinium atropurpureum,-32.13886,-53.83785
Colletia paradoxa,-32.20208,-53.85813
Scutia buxifolia,-32.35171,-53.81435
Allophylus edulis,-32.3533,-53.70419
Dodonaea viscosa,-32.3533,-53.70419
Solanum mauritianum,-32.27338,-53.69445
Daphnopsis racemosa,-32.27398,-53.68016
Celtis tala,-32.2746,-53.7159
Lantana camara,-32.37475,-53.76767
Eryngium nudicaule,-32.35258,-53.75176
Hydrocotyle bonariensis,-32.33845,-53.73857
Baccharis trimera,-32.32144,-53.68658
Chaptalia piloselloides,-32.31271,-53.70205
Chevreulia sarmentosa,-32.30434,-53.72184
Conyza bonariensis,-32.28107,-53.74259
Gamochaeta americana,-32.28107,-53.74259
Soliva sessilis,-34.42644,-53.86558
Lobelia hederacea,-34.4,-53.76667
Dichondra macrocalyx,-34.4,-53.76667
Evolvulus sericeus,-34.4,-53.76667
Equisetum giganteum,-34.76786,-55.59992
Trifolium polymorphum,-34.78222,-54.52861
Herbertia lahue,-34.42403,-53.86486
